id,date,hour,leagueMatchNb,idHome,homeTeam,idAway,awayTeam,h_score,a_score,h_possession,h_duelsWon,h_aerialDuelsWon,h_interceptions,h_offPlays,h_corners,h_passes,h_longPasses,h_succeededPasses,h_succeededPassesOppositeSide,h_centers,h_succeededCenters,h_shots,h_targetedShots,h_counteredShots,h_extSurfaceShots,h_intSurfaceShots,h_precisionShots,h_tackles,h_succeededTackles,h_clears,h_concededFaults,h_yellowCards,h_redCards,a_possession,a_duelsWon,a_aerialDuelsWon,a_interceptions,a_offPlays,a_corners,a_passes,a_longPasses,a_succeededPasses,a_succeededPassesOppositeSide,a_centers,a_succeededCenters,a_shots,a_targetedShots,a_counteredShots,a_extSurfaceShots,a_intSurfaceShots,a_precisionShots,a_tackles,a_succeededTackles,a_clears,a_concededFaults,a_yellowCards,a_redCards
69354,20210911,1900,7,19,GF38,8,NO,2,1,58.1,53.6,58.6,8,0,12,441,59,82.3,73.6,32,37.5,17,2,3,8,9,11.8,24,50.0,15,11,4,0,41.9,46.4,41.4,8,0,3,330,49,78.5,67.6,11,27.3,9,3,1,3,6,33.3,18,55.6,28,15,4,0
69357,20210911,1900,7,15,VAFC,9,QRM,1,2,55.0,47.4,57.1,7,2,4,372,62,78.5,62.7,20,15.0,7,1,3,3,4,14.3,21,71.4,20,17,2,0,45.0,52.6,42.9,11,5,5,302,66,73.2,56.2,21,19.0,13,3,2,5,8,23.1,26,76.9,21,16,3,0
69355,20210913,2045,7,12,HAC,7,TFC,1,1,41.4,48.5,40.0,9,1,9,351,58,74.9,60.5,20,15.0,10,4,2,5,5,40.0,13,69.2,15,3,1,1,58.6,51.5,60.0,15,5,6,514,64,80.7,65.8,15,40.0,9,2,3,1,8,22.2,21,33.3,18,13,4,0
69366,20210918,1500,8,3,FCSM,1,PFC,2,0,46.7,52.2,50.0,20,5,3,417,79,78.4,55.9,13,15.4,12,4,3,5,7,33.3,16,62.5,16,10,1,0,53.3,47.8,50.0,13,0,3,472,81,74.4,62.0,17,23.5,6,2,1,3,3,33.3,18,55.6,7,13,2,0
69367,20210918,1500,8,7,TFC,19,GF38,4,1,62.9,47.8,50.0,12,3,4,629,72,88.4,77.1,19,21.1,17,10,3,4,13,58.8,15,66.7,3,17,2,0,37.1,52.2,50.0,15,1,2,374,43,78.3,65.4,7,28.6,7,2,1,5,2,28.6,12,66.7,16,12,0,0
69358,20210918,1900,8,11,SCB,2,SMC,1,1,47.2,47.1,56.8,15,5,1,414,71,76.3,61.0,11,9.1,4,3,0,0,4,75.0,12,58.3,22,9,2,0,52.8,52.9,43.2,11,1,6,450,56,81.3,66.0,24,12.5,11,3,1,7,4,27.3,22,68.2,9,10,1,0
69359,20210918,1900,8,18,DFCO,10,USLD,2,0,47.7,48.6,51.4,6,5,8,335,76,69.3,54.7,17,23.5,14,5,4,7,7,35.7,17,52.9,10,18,2,0,52.3,51.4,48.6,2,4,4,371,60,72.2,56.4,16,37.5,9,3,2,2,7,33.3,11,72.7,20,16,3,0
69360,20210918,1900,8,16,ASNL,12,HAC,1,1,60.9,55.9,46.4,13,6,4,413,70,76.5,58.4,17,5.9,13,5,3,6,7,38.5,23,69.6,13,17,2,1,39.1,44.1,53.6,14,0,3,263,54,62.0,52.3,13,23.1,8,5,1,6,2,62.5,12,41.7,22,14,2,0
69361,20210918,1900,8,8,NO,17,ASC,3,3,45.5,46.0,36.7,15,1,3,354,54,76.8,64.3,13,30.8,12,6,0,7,5,50.0,15,66.7,25,19,4,0,54.5,54.0,63.3,14,0,6,416,60,77.9,63.7,24,29.2,16,7,2,3,13,43.8,9,77.8,16,14,3,0
69362,20210918,1900,8,14,CNFC,13,EAG,2,0,41.0,52.8,52.2,2,2,3,335,58,75.5,58.9,11,9.1,10,4,2,5,5,40.0,13,69.2,25,11,2,0,59.0,47.2,47.8,14,4,5,480,53,82.3,65.2,20,20.0,10,3,4,4,6,30.0,18,61.1,10,19,3,0
69363,20210918,1900,8,5,PAUFC,15,VAFC,1,1,46.1,49.0,30.4,7,3,6,397,59,82.6,63.9,26,19.2,6,3,2,0,6,50.0,13,69.2,21,15,4,0,53.9,51.0,69.6,7,0,5,468,47,85.7,73.8,25,36.0,15,4,3,3,12,26.7,14,64.3,20,15,2,0
